,Country,Bank Name,Business Focus
0,Andorra,"Andorra Banc Agrícol Reig, SA","International private banking, domestic retail banking"
1,Andorra,"Banc Sabadell d’Andorra, SA","International private banking, domestic retail banking"
2,Andorra,"Crèdit Andorrà, SA","International private banking, domestic retail banking"
3,Andorra,"Mora Banc Grup, SA","International private banking, domestic retail banking"
4,Andorra,"Vall Banc, SAU  (new)","International private banking, domestic retail banking"
5,Anguilla,Caribbean Commercial Investment Bank Ltd.,Bank Category: Offshore banks
6,Anguilla,Foreign Commerce Bank Limited,Bank Category: Offshore banks
7,Anguilla,National Bank of Anguilla (Private Banking and Trust) Limited,Bank Category: Offshore banks
8,Anguilla,National Commercial Bank of Anguilla Limited  (new),Bank Category: Domestic banks
9,Anguilla,Scotiabank Anguilla Limited,Bank Category: Domestic banks
10,Austria,Addiko Bank AG,retail banking
11,Austria,Allianz Investmentbank AG,investment banking
12,Austria,Alpenbank AG,"private banking, asset management"
13,Austria,Austrian Anadi Bank AG,retail and corporate banking
14,Austria,Autobank AG,car loans
15,Austria,Banco do Brasil AG,corporate banking
16,Austria,Bank Austria Wohnbaubank AG,construction bonds
17,Austria,Bank für Tirol und Vorarlberg AG,retail and business banking
18,Austria,Bank Gutmann AG,"private banking, wealth management"
19,Austria,Bank of China (Central and Eastern Europe) Limited Vienna Branch,corporate and investment banking
20,Austria,Bank Winter & Co. AG,corporate and investment banking
21,Austria,bank99 AG,retail banking
22,Austria,Bankhaus Carl Spängler & Co. AG,"private banking, asset management"
23,Austria,Bankhaus Denzel AG,retail banking
24,Austria,Bankhaus Schelhammer & Schattera AG,private banking
25,Austria,Bausparkasse der österreichischen Sparkassen AG,housing financing
26,Austria,Bausparkasse Wüstenrot AG,housing financing
27,Austria,BAWAG P.S.K.,retail and business banking
28,Austria,BAWAG P.S.K. Wohnbaubank AG,housing financing
29,Austria,BKS Bank AG,universal banking
30,Austria,BMW Austria Bank GmbH,vehicle financing for BMW brands
31,Austria,BNP PARIBAS PERSONAL FINANCE SA Niederlassung Österreich,consumer finance
32,Austria,BNP Paribas SA Niederlassung Österreich,corporate and institutional banking
33,Austria,CAPITAL BANK - GRAWE GRUPPE AG,private banking
34,Austria,card complete Service Bank AG,payment cards and related services
35,Austria,"Citibank Europe plc, Austria Branch",corporate and investment banking
36,Austria,Commerzbank AG Niederlassung Wien,corporate banking
37,Austria,Commerzialbank Mattersburg im Burgenland AG,regional universal banking
38,Austria,Crédit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich,private banking and asset management
