,Title,Website,Email,Region
0,European Bank for Reconstruction and Development,http://www.ebrd.com/,projectenquiries@ebrd.com,Global
1,European Union,http://europa.eu.int/,envinfo@cec.eu.int,Global
2,Greenpeace International,http://www.greenpeace.org/,supporter.services@ams.greenpeace.org,Global
3,International Finance Corporation,http://www.ifc.org/,(IFC),Global
4,International Renewable Energy Agency,http://www.irena.org/,irenapress@irena.org,Global
5,Organization for Economic Cooperation and Development,http://www.oecd.org/,webmaster@oecd.org,Global
6,Organization of the Petroleum Exporting Countries,http://www.opec.org/,webmaster@opec.org,Global
7,OPEC Fund for International Development,http://www.opecfund.org/,webmaster@opecfund.org,Global
8,Southern African Renewable Energy Information Network,sarein/index.shtml,,Global
9,"United Nations Educational, Scientific, and Cultural organization",http://www.unesco.org/,webmaster@unesco.org,Americas
10,Academy for Educational Development,http://www.aed.org/,admindc@aed.org,Americas
11,Caribbean Community,http://www.caricom.org,webmaster@caricom.org,Americas
12,Caribbean Development Bank,http://www.caribank.org/,http://www.caribank.org,Americas
13,Central American Bank for Ec,http://www.bcie.org/,onomic Integration,Americas
14,Center for Development and Population Activities,http://www.cedpa.org/,cmail@cedpa.org,Americas
15,Group of 77,http://www.g77.org/,g77off@unmail.org,Americas
16,Inter-American Investment Corporation,http://www.iadb.org/iic/,iicmail@iadb.org,Americas
17,Latin America Energy Organization,http://www.olade.org.ec/,olade@olade.org.ec,Americas
18,Latin America Oil Companies,http://www.arpel.org/,arpel@arpel.org.uy,Americas
19,Organization of American States,http://www.oas.org/,pimultimedia@oas.org,Americas
20,Pan American Health Organization,http://www.paho.org/,http://www.paho.org,Americas
21,Regional Electrical Integration Commission,http://www.e8.org/index.jsp?numPage=115,secier@secier.org.uy,Americas
22,Secreteriat for Central American Economic Integration,http://www.sieca.org.gt/site/Inicio.aspx?Lng=2,info@sieca.org.gt,Americas
23,United States Agency for International Development,http://www.usaid.gov/,webmaster@info.usaid.gov,Americas
