,Country,Bank
0,Afghanistan,Afghanistan International Bank (Local Bank)
1,Afghanistan,Afghanistan Commercial Bank (Local Bank)
2,Afghanistan,Ghazanfar Bank (Local Bank)
3,Afghanistan,Maiwand Bank (Local Bank)
4,Afghanistan,Afghan United Bank (Local Bank)
5,Afghanistan,Azizi Bank (Local Bank)
6,Afghanistan,Bank-e-Millie Afghan (Local Bank)
7,Afghanistan,First MicroFinance Bank-Afghanistan (Local Bank)
8,Afghanistan,New Kabul Bank (Local Bank)
9,Afghanistan,Pashtany Bank (Local Bank)
10,Afghanistan,Bakhter Bank (Local Bank)
11,Afghanistan,Bank-e Millie Afghan (State Bank)
12,Afghanistan,Pashtany Bank (State Bank)
13,Afghanistan,New Kabul Bank (State Bank)
14,Afghanistan,Alfalah Bank (Foreign Bank)
15,Afghanistan,National Bank of Pakistan (Foreign Bank)
16,Afghanistan,Habib Bank (Foreign Bank)
17,Albania,Alpha Bank – Albania (Commercial Bank)
18,Albania,Banka Kombetare Tregtare (BKT) (Commercial Bank)
19,Albania,Credins Bank (CB) (Commercial Bank)
20,Albania,Credit Agricole Albania (Commercial Bank)
21,Albania,Credit Bank of Albania (CBA) (Commercial Bank)
22,Albania,"First Investment Bank, Albania (FIB) (Commercial Bank)"
23,Albania,International Commercial Bank (ICB) (Commercial Bank)
24,Albania,Intesa Sanpaolo Bank Albania (formerly American Bank of Albania) (Commercial Bank)
25,Albania,National Bank of Greece (Tirana Branch) (NBG) (Commercial Bank)
26,Albania,Procredit Bank (PCB) (commercial bank/microfinancing) (Commercial Bank)
27,Albania,Raiffeisen Albania (Commercial Bank)
28,Albania,Société Générale Albania (SGAL) (Commercial Bank)
29,Albania,Tirana Bank (TB) (part of Piraeus Bank) (Commercial Bank)
30,Albania,Union Bank (Albania) (UB) (Commercial Bank)
31,Albania,United Bank of Albania (UBA) (Commercial Bank)
32,Albania,Veneto Banka Albania (formerly Italian Development Bank) (Commercial Bank)
33,Algeria,Banque extérieure d’Algérie (BEA) (Commercial Bank)
34,Algeria,Banque nationale d’Algérie (BNA) (Commercial Bank)
35,Algeria,Banque de l’agriculture et du développement rural (BADR) (Commercial Bank)
36,Algeria,Banque de développement local (BDL) (Commercial Bank)
37,Algeria,Crédit populaire d’Algérie (CPA) (Commercial Bank)
38,Algeria,Caisse nationale d’épargne et de prévoyance (CNEP Banque) (Commercial Bank)
39,Algeria,Caisse nationale de mutualité agricole (CNMA) (Commercial Bank)
40,Algeria,Banque Al Baraka Algerie (Commercial Bank)
41,Algeria,Arab Banking Corporation (ABC) (Commercial Bank)
42,Algeria,Natixis Banque (Commercial Bank)
43,Algeria,Societe Generale Algerie (Commercial Bank)
44,Algeria,Citibank (Commercial Bank)
45,Algeria,Arab Bank Plc (Commercial Bank)
46,Algeria,BNP Paribas el Djazair (Commercial Bank)
47,Algeria,Trust Bank Algeria (Commercial Bank)
48,Algeria,Gulf Bank Algeria (Commercial Bank)
49,Algeria,Housing Bank for Trade and Finance (Commercial Bank)
50,Algeria,Fransabank el Djazair (Commercial Bank)
51,Algeria,Calyon Algerie SPA (Commercial Bank)
52,Algeria,Al Salam Bank Algeria SPA (Commercial Bank)
53,Algeria,HSBC Algeria SPA (Commercial Bank)
54,Algeria,Banque Nationale d’Algérie (BNA) (State Bank)
55,Algeria,Banque Extérieure d’Algérie (BEA) (State Bank)
56,Algeria,Banque de l’Agriculture et du Développement Rural (BADR) (State Bank)
57,Algeria,ABC International Bank Plc-Algeria (Foreign Bank)
58,Algeria,African Development Bank Group – Algeria. (Foreign Bank)
59,Algeria,Al Salam Bank Algeria. (Foreign Bank)
60,Algeria,Arab Bank Algeria. (Foreign Bank)
61,Algeria,Arab Banking Corporation. (Foreign Bank)
62,Algeria,Banque Albaraka Alg. (Foreign Bank)
63,Algeria,Banque Exterieure D’algerie British Arab Commercial Bank (bacb) (Foreign Bank)
64,Algeria,Bnp Paribas El Djaza. (Foreign Bank)
65,Algeria,Fransabank El DJAZA (Foreign Bank)
66,Algeria,Natixis Banque Alg (Foreign Bank)
67,Algeria,Union De Banques Arabes Et Francaises (U.B.A.F.) (Foreign Bank)
68,Algeria,Caisse Nationale D (Foreign Bank)
69,Algeria,Calyon Alg (Foreign Bank)
70,Algeria,Citibank Alg (Foreign Bank)
71,Algeria,Gulf Bank Algeria (Foreign Bank)
72,Algeria,Societe General Algeria (Foreign Bank)
73,Algeria,The World Bank – Algeria (Foreign Bank)
74,Algeria,Trust Bank ALG (Foreign Bank)
75,Algeria,Société Générale (Private Bank)
76,Algeria,BNP Paribas (Private Bank)
77,Algeria,Natixis (Private Bank)
78,Algeria,Algeria Gulf Bank (Private Bank)
79,Andorra,MoraBanc (Private Bank)
80,Andorra,Andbank (Private Bank)
81,Andorra,Credit Andorra Oficina Seu Social (Private Bank)
82,Andorra,Credir Andorra (Private Bank)
83,Andorra,BancSabadell d’Andorra (Private Bank)
84,Angola,Banco Africano de Investimentos (Commercial Bank)
85,Angola,Banco Angolano de Negócios e Comércio (Commercial Bank)
86,Angola,Banco BIC (Commercial Bank)
87,Angola,Banco do Brasil (Commercial Bank)
88,Angola,Banco Comercial (Commercial Bank)
89,Angola,Banco de Comércio e Indústria (Commercial Bank)
90,Angola,Banco de Desenvolvimento de Angola (Commercial Bank)
91,Angola,Banco Espírito Santo (Commercial Bank)
92,Angola,Banco de Fomento (Commercial Bank)
93,Angola,Banco Mundial (Commercial Bank)
94,Angola,BNP Paribas (Commercial Bank)
95,Angola,Banco Privado Atlântico (Commercial Bank)
96,Angola,Banco de Poupança e Crédito (Commercial Bank)
97,Angola,Banco de Negócios Internacional (Commercial Bank)
98,Angola,Banco Quantun Capital (Commercial Bank)
99,Angola,Banco Regional do Keve (Commercial Bank)
100,Angola,Banco Sol (Commercial Bank)
101,Angola,Banco Totta de Angola (Commercial Bank)
102,Angola,Banco Millenium (Commercial Bank)
103,Angola,Banco VTB Africa (Commercial Bank)
104,Angola,Finibanco (Commercial Bank)
105,Angola,Novo Banco (Commercial Bank)
106,Angola,Banco de Poupança e Crédito S.A.R.L. (State Bank)
107,Angola,Banco de Comércio e Indústria (State Bank)
108,Angola,Banco de Desenvolvimento de Angola (State Bank)
109,Angola,BFA (Banco de Fomento Angolano (Foreign Bank)
110,Angola,"Banco BIC, (Foreign Bank)"
111,Angola,Caixa Angola (Foreign Bank)
112,Angola,Millennium–Atlantico Bank (Foreign Bank)
113,Angola,Standard Lesotho Bank (Private Bank)
114,Antigua and Barbuda,The Hanover Bank (Local Bank)
115,Antigua and Barbuda,Antigua Commercial Bank Ltd (ACB) (Commercial Bank)
116,Antigua and Barbuda,Antigua Overseas Bank Ltd (AOB) (Commercial Bank)
117,Antigua and Barbuda,Scotiabank (formerly Bank of Nova Scotia) (Commercial Bank)
118,Antigua and Barbuda,DBank  (Commercial Bank)
119,Antigua and Barbuda,Global Bank of Commerce Ltd.  (Commercial Bank)
120,Antigua and Barbuda,Antigua / Barbuda Investment Bank Ltd (Commercial Bank)
121,Antigua and Barbuda,Commerce Bank of Antigua (Commercial Bank)
122,Antigua and Barbuda,Standford International Bank Limited (Commercial Bank)
123,Antigua and Barbuda,Bank of Antigua (State Bank)
124,Antigua and Barbuda,EuroFed Bank (State Bank)
125,Antigua and Barbuda,American International Bank (AIB) (Foreign Bank)
126,Antigua and Barbuda,Barrington Bank (Foreign Bank)
127,Antigua and Barbuda,Royal Bank of Canada (RBC) (Foreign Bank)
128,Antigua and Barbuda,Credit Bank Int’l (Foreign Bank)
129,Antigua and Barbuda,European Union Bank (Foreign Bank)
130,Antigua and Barbuda,Swiss American Bank (Foreign Bank)
131,Antigua and Barbuda,Swiss American National Bank (Foreign Bank)
132,Antigua and Barbuda,Barclays Bank (Foreign Bank)
133,Antigua and Barbuda,Premier International Bank Limited (Foreign Bank)
134,Antigua and Barbuda,Swiss American (Foreign Bank)
135,Antigua and Barbuda,Scotiabank (formerly Bank of Nova Scotia) (Private Bank)
136,Antigua and Barbuda,Ansbacher (Antigua) Ltd formerly PKB Privatbank Limited (Private Bank)
137,Antigua and Barbuda,Global Bank of Commerce Ltd.  (Private Bank)
138,Antigua and Barbuda,Trium Bank and Trust Ltd (Private Bank)
139,Antigua and Barbuda,Antigua and Barbuda Development Bank (Private Bank)
140,Antigua and Barbuda,PKB Privatbank Limited (Private Bank)
141,Antigua and Barbuda,V T I Bank Limited (Private Bank)
142,Argentina,Citibank Argentina (Commercial Bank)
143,Argentina,Credit Suisse Argentina (Commercial Bank)
144,Argentina,MBA Lazard Argentina (Commercial Bank)
145,Argentina,CMF Corporate Bank (Commercial Bank)
146,Argentina,Banco de la Nación Argentina (State Bank)
147,Argentina,Citibank  (State Bank)
148,Argentina,Industrial and Commercial Bank of China (Foreign Bank)
149,Argentina,Ing. Bank N V (Foreign Bank)
150,Argentina,Inter-American Development Bank (Foreign Bank)
151,Argentina,Banelco BBVA – French Bank (Foreign Bank)
152,Argentina,Citibank Argentina (Private Bank)
153,Argentina,HSBC Bank Argentina S.A (Private Bank)
154,Armenia,Union of Banks of Armenia (Local Bank)
155,Armenia,Byblos Bank (Local Bank)
156,Armenia,Central Bank (Local Bank)
157,Armenia,VTB Bank Armenia (Local Bank)
158,Armenia,Mellat Bank (Local Bank)
159,Armenia,Anelik Bank (Local Bank)
160,Armenia,Araratbank (Local Bank)
161,Armenia,"ACBA-Credit Agricole Bank, (Commercial Bank)"
162,Armenia,Ameriabank (Commercial Bank)
163,Armenia,"Anelik Bank, (Commercial Bank)"
164,Armenia,"Araratbank, (Commercial Bank)"
165,Armenia,"Ardshinbank, (Commercial Bank)"
166,Armenia,Armbusinessbank (Commercial Bank)
167,Armenia,ArmEconomBank (Commercial Bank)
168,Armenia,"ArmSwissBank, (Commercial Bank)"
169,Armenia,Artsakhbank (Commercial Bank)
170,Armenia,Bank Mellat Armenia (Commercial Bank)
171,Armenia,"Byblos Bank Armenia, (Commercial Bank)"
172,Armenia,Converse Bank (Commercial Bank)
173,Armenia,"Evocabank, (Commercial Bank)"
174,Armenia,HSBC Bank Armenia (Commercial Bank)
175,Armenia,"InecoBank, (Commercial Bank)"
176,Armenia,"Unibank, (Commercial Bank)"
177,Armenia,VTB Armenia (Commercial Bank)
178,Armenia,Armenian Development Bank (Commercial Bank)
179,Armenia,AreximBank-Gazprombank (Commercial Bank)
180,Armenia,Cascade Bank (Commercial Bank)
181,Armenia,BTA Bbank (Commercial Bank)
182,Armenia,ProCredit Bank (Commercial Bank)
183,Armenia,Union of Banks of Armenia (Private Bank)
184,Australia,AMP Bank Limited (Local Bank)
185,Australia,Australian Military Bank (Local Bank)
186,Australia,Police Bank (Local Bank)
187,Australia,Greater Bank (Local Bank)
188,Australia,Heritage Bank (Local Bank)
189,Australia,Hume Bank (Local Bank)
190,Australia,Qudos Bank (Local Bank)
191,Australia,Auswide Bank (Commercial Bank)
192,Australia,Bank SA (Commercial Bank)
193,Australia,National Australia Bank (Commercial Bank)
194,Australia,Bank Australia (previously bankmecu) (State Bank)
195,Australia,Bank of Melbourne (State Bank)
196,Australia,IMB Bank (State Bank)
197,Australia,Macquarie Bank Limited (State Bank)
198,Australia,MyState Bank (State Bank)
199,Australia,P&N Bank (State Bank)
200,Australia,Australia and New Zealand Banking Group Limited (ANZ) (Foreign Bank)
201,Australia,Commonwealth Bank of Australia (Foreign Bank)
202,Australia,Arab Bank Australia Limited (Foreign Bank)
203,Australia,Bank of China (Australia) Limited (Foreign Bank)
204,Australia,"Bank of Sydney Ltd, subsidiary of Bank of Beirut (Foreign Bank)"
205,Australia,Citibank Australia (Foreign Bank)
206,Australia,HSBC Bank Australia (Foreign Bank)
207,Australia,"ING Bank (Australia) a subsidiary of ING Group, Netherlands (Foreign Bank)"
208,Australia,ABN AMRO Bank N.V. (Foreign Bank)
209,Australia,"Bank of America, National Association (Foreign Bank)"
210,Austria,LGT Bank AG (Local Bank)
211,Austria,UniCredit Bank Austria (Local Bank)
212,Austria,Austrian Anadi Bank AG (Local Bank)
213,Austria,VTB Bank (Europe) SE – ZNdl. Wien (Commercial Bank)
214,Austria,Bank Austria Wohnbaubank AG (State Bank)
215,Austria,Bank Austria (State Bank)
216,Austria,ING-DiBa Austria (Foreign Bank)
217,Austria,Allianz Investment Bank AG (Private Bank)
218,Azerbaijan,AccessBank (Commercial Bank)
219,Azerbaijan,AFB Bank (Commercial Bank)
