,Name,Address,Contact,Full Address,State,Country,Pincode
0,New York Stock Exchange,"New York, United States",+1 212-896-2830,"['11 Wall Street', 'New York, NY 10005']",New York, United States,10005
1,NASDAQ Stock Exchange,"New York, United States",+1 212-401-8700,"['One Liberty Plaza', '165 Broadway', 'New York, NY 10006']",New York, United States,10006
2,London Stock Exchange,"London, United Kingdom",+44 20 7797 4400,"['10 Paternoster Square', 'London, EC4M 7LS']",London, United Kingdom,
3,Tokyo Stock Exchange,"Tokyo, Japan",+81 3-3666-1361,"['2-1 Nihombashi Kabutocho', 'Chuo-ku', 'Tokyo 103-8224, Japan']",Tokyo, Japan,8224
4,Shanghai Stock Exchange,"Shanghai, China",+86 21 6880 8888,"['China, Shanghai Shi, Pudong Xinqu, Lu Jia Zui,', 'Pudong S Rd, 528号上海证券大厦']",Shanghai, China,
5,Hong Kong Stock Exchange,"Hong Kong, Hong Kong",+852 2522 1122,"['Exchange Square Block 1 And 2', '8號 25 Connaught Pl,', 'Mid-Levels, Hong Kong']",Hong Kong, Hong Kong,
6,Euronext Amsterdam Stock Exchange,"Amsterdam, Netherlands",+31 20 721 4444,"['Beursplein 5', '1012 JW Amsterdam, Netherlands']",Amsterdam, Netherlands,1012
7,Shenzhen Stock Exchange,"Shenzhen, China",+86 88668888,"['2012 Shennan Blvd.', 'Futian District', 'Shenzhen, P.R.China 518038']",Shenzhen, China,518038
8,Toronto Stock Exchange,"Toronto, Canada",+1 888-873-8392,"['130 King St W,', 'Toronto, ON M5X 1J2, Canada']",Toronto, Canada,
9,Bombay Stock Exchange,"Mumbai, India",+91 22721233,"['Phiroze Jeejeebhoy Towers', 'Dalal Street', 'Mumbai, 400001']",Mumbai, India,400001
10,India National Stock Exchange,"Mumbai, India",+91 22 2659 8100,"['Exchange Plaza, C-1, Block G', 'Bandra Kurla Complex', 'Bandra (E) Mumbai – 400 051']",Mumbai, India,
11,Swiss Stock Exchange,"Zurich, Switzerland",+41 58 399 21 11,"['Pfingstweidstrasse 110', '8021 Zürich, Switzerland']",Zurich, Switzerland,8021
12,Australia Stock Exchange,"Sydney, Australia",+61 2 9227 0000,"['Exchange Centre', '20 Bridge Street', 'Sydney, NSW 2000 Australia']",Sydney, Australia,2000
13,South Korea Stock Exchange,"Seoul, South Korea",+82 2-3774-9000,"['33, Seoul', 'South Korea 150-977']",Seoul, South Korea,
14,Stockholm Stock Exchange,"Stockholm, Sweden",+46 8 405 60 00,"['Tullvaktsvägen 15', '115 56 Stockholm, Sweden']",Stockholm, Sweden,
15,Johannesburg Stock Exchange,"Johannesburg, South Africa",+27 11 520 7000,"['JSE Limited', 'One Exchange Square, Gwen Lane', 'Sandown, 2196', 'Republic of South Africa']",Johannesburg, South Africa,
16,Madrid Stock Exchange,"Madrid, Spain",+34 917 09 50 00,"['Palacio de la Bolsa', 'Plaza de la Lealtad, 1', '28014 Madrid, Spain']",Madrid, Spain,28014
17,Taiwan Stock Exchange,"Taipei, Taiwan",+886 2 8101 3101,"['3F, 9-12F, No.7, Sec.5, Xinyi Rd.', 'Taipei, Taiwan 11049']",Taipei, Taiwan,11049
18,Brazil Stock Exchange,"São Paulo, Brazil",+55 11 2565-5996,"['B3 Centro', 'Praça Antonio Prado, 48', 'Rua XV de Novembro, 275', 'São Paulo - SP, 01010-010']",São Paulo, Brazil,1010
19,Frankfurt Stock Exchange,"Frankfurt, Germany",+49 4906 92110,"['The Cube', 'Mergenthalerallee 61', '65760 Eschborn Germany']",Frankfurt, Germany,65760
20,Malaysia Stock Exchange,"Kuala Lumpur, Malaysia",+60 3-2034 7000,"['Exchange Square', 'Bukit Kewangan', '50200 Kuala Lumpur, Malaysia']",Kuala Lumpur, Malaysia,50200
21,Jamaica Stock Exchange,"Kingston, Jamaica",+1 876-967-3271,"['Jamaica Stock Exchange Limited', '40 Harbour Street', 'Kingston', 'Jamaica']",Kingston, Jamaica,
22,Santiago Stock Exchange,"Santiago, Chile",+56 2 2399 3000,"['La Bolsa 64, Santiago', 'Región Metropolitana']",Santiago, Chile,
23,Colombia Stock Exchange,"Bogotá, Colombia",+57 1 3139800,"['Carrera 7 No. 71-21', 'Torre B Piso 12.', 'Edificio BVC.', 'Bogotá, Colombia']",Bogotá, Colombia,
24,Lima Stock Exchange,"Lima, Perú",+51 1 6193333,"['Pasaje Acuña 106', 'Lima 100, Peru']",Lima, Perú,
25,Mexican Stock Exchange,"Mexico City, Mexico",+52 55 5342 9950,"['Rubén Alfonso Perera Santos', 'Paseo de la Reforma 255, Col.', 'Cuauhtémoc, 06500, México D.F.']",Mexico City, Mexico,6500
26,Argentinian Stock Exchange,"Buenos Aires, Argentina",+54 11 4316-7000,"['Sarmiento 299', 'Buenos Aires, Argentina, C1041AAE']",Buenos Aires, Argentina,1041
27,Chittagong Stock Exchange,"Chittagong, Bangladesh",+880 3171-46323,"['CSE Building', '1080, Sk. Mujib Road Agrabad', 'Chittagong 4100, Bangladesh']",Chittagong, Bangladesh,4100
28,Colombo Stock Exchange,"Colombo, Sri Lanka",+94 112 356 456,"['04-01, West Block', 'World Trade Center, Echelon Square', 'Colombo 01']",Colombo, Sri Lanka,
29,Dhaka Stock Exchange,"Dhaka, Bangladesh",+880 2-9564601,"['Stock Exchange Building, 9/F', 'Motijheel C/A', 'Dhaka, Bangladesh']",Dhaka, Bangladesh,
30,Ho Chi Minh Stock Exchange,"Ho Chi Minh, Vietnam",+84 838 217 713,"['16 Vo Van Kiet Street', 'Dist. 1, Ho Chi Minh City']",Ho Chi Minh, Vietnam,
31,Indonesia Stock Exchange,"Jakarta, Indonesia",+62 622 15150515,"['Indonesia Stock Exchange Building', '1st Tower', 'Jl. Jend. Sudirman Kav 52-53', 'Jakarta Selatan 12190, Indonesia']",Jakarta, Indonesia,12190
32,New Zealand Stock Exchange,"Wellington, New Zealand",+64 4-495 2378,"['Level 1, NZX Centre', '11 Cable Street', 'Wellington, New Zealand 6011']",Wellington, New Zealand,6011
33,Philippine Stock Exchange,"Manila, Philippines",+63 2 819 4100,"['Philippine Stock Exchange Centre, Road', 'Ortigas Center, Pasig', '1605 Metro Manila, Philippines']",Manila, Philippines,1605
34,Singapore Exchange,"Singapore, Singapore",+65 6535 7511,"['2 Shenton Way', '#02-02 SGX Centre 1', 'Singapore 068804']",Singapore, Singapore,68804
35,Stock Exchange of Thailand,"Bangkok, Thailand",+66 2 009 9999,"['Stock Exchange of Thailand', '93 Ratchadaphisek Road', 'Dindaeng, Bangkok 10400']",Bangkok, Thailand,10400
36,Abu Dhabi Securities Exchange,"Abu Dhabi, United Arab Emirates",+971 2 627 7777,"['Al Ghaith Tower', 'Ground Floor', 'Hamdan Bin Mohammed Street', 'Abu Dhabi, United Arab Emirates']",Abu Dhabi, United Arab Emirates,
37,Amman Stock Exchange,"Amman, Jordan",+962 6 566 4109,"['Al-Mansour Ben Abi Amer St.', 'Amman, Jordan']",Amman, Jordan,
38,Athens Stock Exchange,"Athens, Greece",+30 21 0336 6800,"['HELEX Group', '110 Athinon Ave', 'GR10442 Athens']",Athens, Greece,10442
39,Istanbul Stock Exchange,"Istanbul, Turkey",+90 212 298 21 00,"['Resitpasa Mahallesi, Tuncay Artun Caddesi, Emirgan, Sariyer', '34467 Istanbul, Turkey']",Istanbul, Turkey,34467
40,Casablanca Stock Exchange,"Casablanca, Morocco",+212 5224-52626,"['Casablanca Stock Exchange', 'Angle Avenue des Forces Armées Royales et Rue Arrachid Mohamed', 'Casablanca- MAROC']",Casablanca, Morocco,
41,Bucharest Stock Exchange,"Bucharest, Romania",+40 21 307 9500,"['Carol I Blvd. 34 - 36, 14th floor', '020922 Bucharest, Romania']",Bucharest, Romania,20922
42,Budapest Stock Exchange,"Budapest, Hungary",+36 1 429 6857,"['Bank Center', 'Szbadsag ter 7.', '5th district', 'Budapest 1054 Hungary']",Budapest, Hungary,1054
43,Dubai Financial Market,"Dubai, United Arab Emirates",+971 4 305 5555,"['Dubai Financial Market', 'Mezzanine Floor, World Trade Centre (Rashid Tower)', 'Sheikh Zayed Road', 'Dubai, United Arab Emirates']",Dubai, United Arab Emirates,
44,Egyptian Exchange,"Cairo, Egypt",+20 2 23941900,"['4 El Sharifeen St,', 'DOWNTOWN Abdeen', 'Cairo Governorate, Egypt']",Cairo, Egypt,
